DATA INICIO;DATA FIM;CAMPUS;MOTIVO
17/03/2020;30/09/2021;*;COVID
03/03/2014;05/03/2014;*;FERIADO
18/04/2014;18/04/2014;*;FERIADO
19/06/2014;19/06/2014;*;FERIADO
16/02/2015;18/02/2015;*;FERIADO
03/04/2015;03/04/2015;*;FERIADO
04/06/2015;04/06/2015;*;FERIADO
08/02/2016;10/02/2016;*;FERIADO
25/03/2016;25/03/2016;*;FERIADO
26/05/2016;26/05/2016;*;FERIADO
27/02/2017;01/03/2017;*;FERIADO
14/04/2017;14/04/2017;*;FERIADO
15/06/2017;15/06/2017;*;FERIADO
12/02/2018;14/02/2018;*;FERIADO
30/03/2018;30/03/2018;*;FERIADO
31/05/2018;31/05/2018;*;FERIADO
04/03/2019;06/03/2019;*;FERIADO
19/04/2019;19/04/2019;*;FERIADO
20/06/2019;20/06/2019;*;FERIADO
24/02/2020;26/02/2020;*;FERIADO
10/04/2020;10/04/2020;*;FERIADO
11/06/2020;11/06/2020;*;FERIADO
15/02/2021;17/02/2021;*;FERIADO
02/04/2021;02/04/2021;*;FERIADO
03/06/2021;03/06/2021;*;FERIADO
28/02/2022;01/03/2022;*;FERIADO
15/04/2022;15/04/2022;*;FERIADO
16/06/2022;16/06/2022;*;FERIADO
20/02/2023;22/02/2023;*;FERIADO
07/04/2023;07/04/2023;*;FERIADO
08/06/2023;08/06/2023;*;FERIADO
01/jan;01/jan;*;FERIADO
12/02/2024;14/02/2024;*;FERIADO
29/03/2024;29/03/2024;*;FERIADO
21/abr;21/abr;*;FERIADO
01/mai;01/mai;*;FERIADO
30/05/2024;30/05/2024;*;FERIADO
07/set;07/set;*;FERIADO
12/out;12/out;*;FERIADO
28/out;28/out;*;FERIADO
02/nov;02/nov;*;FERIADO
25/dez;25/dez;*;FERIADO
10/out;10/out;ARAPONGAS;FERIADO
12/out;12/out;ARAPONGAS;FERIADO
16/jul;16/jul;ASSIS CHATEAUBRIAND;FERIADO
28/ago;28/ago;ASSIS CHATEAUBRIAND;FERIADO
20/jan;20/jan;ASTORGA;FERIADO
14/dez;14/dez;ASTORGA;FERIADO
12/out;12/out;BARRACÃO;FERIADO
14/dez;14/dez;BARRACÃO;FERIADO
02/fev;02/fev;CAMPO LARGO;FERIADO
23/fev;23/fev;CAMPO LARGO;FERIADO
31/mai;31/mai;CAPANEMA;FERIADO
14/nov;14/nov;CAPANEMA;FERIADO
12/out;12/out;CASCAVEL;FERIADO
14/dez;14/dez;CASCAVEL;FERIADO
05/fev;05/fev;COLOMBO;FERIADO
07/out;07/out;COLOMBO;FERIADO
16/ago;16/ago;CORONEL VIVIDA;FERIADO
14/dez;14/dez;CORONEL VIVIDA;FERIADO
29/mar;29/mar;CURITIBA;FERIADO
08/set;08/set;CURITIBA;FERIADO
10/jun;10/jun;FOZ DO IGUAÇU;FERIADO
24/jun;24/jun;FOZ DO IGUAÇU;FERIADO
02/fev;02/fev;GOIOERÊ;FERIADO
10/ago;10/ago;GOIOERÊ;FERIADO
15/jul;15/jul;IRATI;FERIADO
08/set;08/set;IRATI;FERIADO
06/ago;06/ago;IVAIPORÃ;FERIADO
19/nov;19/nov;IVAIPORÃ;FERIADO
20/jan;20/jan;JACAREZINHO;FERIADO
02/abr;02/abr;JACAREZINHO;FERIADO
06/ago;06/ago;JAGUARIAÍVA;FERIADO
15/set;15/set;JAGUARIAÍVA;FERIADO
23/06/2017;23/06/2017;LONDRINA;FERIADO
08/06/2018;08/06/2018;LONDRINA;FERIADO
28/06/2019;28/06/2019;LONDRINA;FERIADO
19/06/2020;19/06/2020;LONDRINA;FERIADO
11/06/2021;11/06/2021;LONDRINA;FERIADO
24/06/2022;24/06/2022;LONDRINA;FERIADO
16/06/2023;16/06/2023;LONDRINA;FERIADO
07/06/2024;07/06/2024;LONDRINA;FERIADO
10/dez;10/dez;LONDRINA;FERIADO
14/abr;14/abr;PALMAS;FERIADO
06/ago;06/ago;PALMAS;FERIADO
29/jul;29/jul;PARANAGUÁ;FERIADO
07/out;07/out;PARANAGUÁ;FERIADO
20/jan;20/jan;PARANAVAÍ;FERIADO
14/dez;14/dez;PARANAVAÍ;FERIADO
20/mar;20/mar;PINHAIS;FERIADO
13/mai;13/mai;PINHAIS;FERIADO
28/jan;28/jan;PITANGA;FERIADO
26/jul;26/jul;PITANGA;FERIADO
15/dez;15/dez;QUEDAS DO IGUAÇU;FERIADO
08/dez;08/dez;QUEDAS DO IGUAÇU;FERIADO
21/mar;21/mar;TELÊMACO BORBA;FERIADO
27/jun;27/jun;TELÊMACO BORBA;FERIADO
26/jun;26/jun;UMUARAMA;FERIADO
04/out;04/out;UMUARAMA;FERIADO
27/mar;27/mar;UNIÃO DA VITÓRIA;FERIADO
15/jun;15/jun;UNIÃO DA VITÓRIA;FERIADO
24/dez;31/dez;*;FÉRIAS
01/01/2014;31/01/2014;*;FÉRIAS
01/01/2015;31/01/2015;*;FÉRIAS
01/01/2016;31/01/2016;*;FÉRIAS
01/01/2017;31/01/2017;*;FÉRIAS
01/01/2018;31/01/2018;*;FÉRIAS
01/01/2019;31/01/2019;*;FÉRIAS
01/01/2020;31/01/2020;*;FÉRIAS
01/01/2022;31/01/2022;*;FÉRIAS
01/01/2023;31/01/2023;*;FÉRIAS
01/01/2024;31/01/2024;*;FÉRIAS
10/07/2014;28/07/2014;*;FÉRIAS
13/07/2015;27/07/2015;*;FÉRIAS
18/07/2016;31/07/2016;*;FÉRIAS
03/07/2017;18/07/2017;*;FÉRIAS
09/07/2018;24/07/2018;*;FÉRIAS
08/07/2019;23/07/2019;*;FÉRIAS
10/07/2023;24/07/2023;*;FÉRIAS
08/07/2024;19/07/2024;*;FÉRIAS
29/07/2015;07/10/2015;ASSIS CHATEAUBRIAND;GREVE
29/07/2015;07/10/2015;FOZ DO IGUAÇU;GREVE
29/07/2015;07/10/2015;IRATI;GREVE
29/07/2015;07/10/2015;IVAIPORÃ;GREVE
29/07/2015;07/10/2015;JACAREZINHO;GREVE
29/07/2015;07/10/2015;PALMAS;GREVE
29/07/2015;07/10/2015;PARANAGUÁ;GREVE
29/07/2015;07/10/2015;TELÊMACO BORBA;GREVE
29/07/2015;07/10/2015;UMUARAMA;GREVE
02/05/2024;30/06/2024;*;GREVE