NO_CURSO;NO_TIPO_CURSO;NO_MODALIDADE;NO_TIPO_OFERTA;CAMPUS;DATA INICIO;DATA FIM
TÉCNICO EM LOGÍSTICA;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;CURITIBA;25/08/2011;05/12/2024
TÉCNICO EM MASSOTERAPIA;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;CURITIBA;27/07/2009;04/07/2025
TÉCNICO EM MECÂNICA;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;CURITIBA;01/03/2010;19/12/2026
TÉCNICO EM MECÂNICA;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;CURITIBA;14/02/2011;23/12/2026
TÉCNICO EM MEIO AMBIENTE;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;CURITIBA;01/08/2008;05/12/2024
TÉCNICO EM MULTIMEIOS DIDÁTICOS;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;CURITIBA;21/05/2012;31/12/2016
TÉCNICO EM PESCA;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;INTEGRADO;CURITIBA;08/11/2010;11/03/2013
TÉCNICO EM PETRÓLEO E GÁS;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;CURITIBA;03/03/2008;19/12/2026
TÉCNICO EM PROCESSOS FOTOGRÁFICOS;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;CURITIBA;14/02/2011;19/12/2026
TÉCNICO EM PROCESSOS FOTOGRÁFICOS;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;CURITIBA;12/03/2010;28/12/2024
TÉCNICO EM PRODUÇÃO DE ÁUDIO E VÍDEO;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;CURITIBA;03/03/2010;20/12/2025
TÉCNICO EM PROGRAMAÇÃO DE JOGOS DIGITAIS;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;CURITIBA;01/03/2010;18/12/2027
TÉCNICO EM PRÓTESE DENTÁRIA;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;CURITIBA;06/02/2018;21/12/2020
TÉCNICO EM PRÓTESE DENTÁRIA;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;CURITIBA;02/03/2009;18/12/2025
TÉCNICO EM RADIOLOGIA;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;CURITIBA;08/08/2008;23/12/2023
TÉCNICO EM RADIOLOGIA;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;CURITIBA;02/03/2009;20/12/2025
TÉCNICO EM REABILITAÇÃO DE DEPENDENTES QUÍMICOS;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;CURITIBA;07/04/2011;25/04/2014
TÉCNICO EM SAÚDE BUCAL;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;CURITIBA;02/03/2015;22/12/2017
TÉCNICO EM SAÚDE BUCAL;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;CURITIBA;02/03/2009;20/12/2025
TÉCNICO EM SECRETARIADO;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;CURITIBA;02/03/2009;30/11/2012
TÉCNICO EM SECRETARIADO;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;CURITIBA;01/03/2010;22/12/2017
TÉCNICO EM SECRETARIA ESCOLAR;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;CURITIBA;23/05/2012;31/12/2016
TÉCNICO EM SEGURANÇA DO TRABALHO;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;CURITIBA;08/08/2008;19/10/2020
TÉCNICO EM SERVIÇOS PÚBLICOS;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;CURITIBA;02/03/2009;21/09/2020
TÉCNICO EM TELECOMUNICAÇÕES;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;CURITIBA;03/03/2010;20/12/2025
TÉCNICO EM TRANSAÇÕES IMOBILIÁRIAS;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;CURITIBA;12/04/2013;30/10/2016
TÉCNICO EM TRANSAÇÕES IMOBILIÁRIAS;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;CURITIBA;27/07/2009;18/12/2020
TÉCNICO EM VIGILÂNCIA EM SAÚDE;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;CURITIBA;08/08/2008;30/06/2010
TECNOLOGIA EM GESTÃO PÚBLICA;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;CURITIBA;24/09/2008;01/12/2010
TÉCNICO EM ADMINISTRAÇÃO;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;FOZ DO IGUAÇU;02/09/2010;19/12/2020
TÉCNICO EM AQUICULTURA;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;FOZ DO IGUAÇU;09/02/2009;16/12/2026
TÉCNICO EM AQUICULTURA;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;FOZ DO IGUAÇU;03/08/2009;18/07/2019
TÉCNICO EM COZINHA;TÉCNICO;EDUCAÇÃO PRESENCIAL;CONCOMITANTE;FOZ DO IGUAÇU;23/02/2011;21/12/2012
TÉCNICO EM COZINHA;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;FOZ DO IGUAÇU;01/03/2013;24/05/2022
TÉCNICO EM DESENVOLVIMENTO DE SISTEMAS;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;FOZ DO IGUAÇU;06/02/2020;16/12/2027
TÉCNICO EM EDIFICAÇÕES;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;FOZ DO IGUAÇU;23/02/2011;16/12/2027
TÉCNICO EM GASTRONOMIA;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;FOZ DO IGUAÇU;06/03/2023;16/12/2024
TÉCNICO EM HIDROLOGIA;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;FOZ DO IGUAÇU;23/02/2011;13/12/2016
TÉCNICO EM INFORMÁTICA;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;FOZ DO IGUAÇU;01/03/2010;20/12/2022
TÉCNICO EM LOGÍSTICA;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;FOZ DO IGUAÇU;06/02/2018;22/12/2019
TÉCNICO EM MEIO AMBIENTE;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;FOZ DO IGUAÇU;01/03/2019;05/12/2024
TÉCNICO EM MEIO AMBIENTE;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;FOZ DO IGUAÇU;06/02/2017;16/12/2027
TÉCNICO EM SECRETARIADO;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;FOZ DO IGUAÇU;02/09/2010;30/07/2012
TÉCNICO EM SEGURANÇA DO TRABALHO;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;FOZ DO IGUAÇU;24/11/2017;19/12/2020
TÉCNICO EM SERVIÇOS PÚBLICOS;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;FOZ DO IGUAÇU;14/12/2015;22/12/2017
TÉCNICO EM INFORMÁTICA;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;GOIOERÊ;01/04/2015;22/12/2027
TÉCNICO EM INFORMÁTICA;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;GOIOERÊ;16/02/2016;30/07/2017
TÉCNICO EM LOGÍSTICA;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;GOIOERÊ;14/12/2015;22/12/2017
TÉCNICO EM MEIO AMBIENTE;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;GOIOERÊ;14/12/2015;22/12/2017
TÉCNICO EM PRODUÇÃO DE MODA;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;GOIOERÊ;06/02/2017;18/12/2026
TÉCNICO EM SEGURANÇA DO TRABALHO;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;GOIOERÊ;14/12/2015;22/12/2017
TÉCNICO EM SERVIÇOS PÚBLICOS;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;GOIOERÊ;14/12/2015;22/12/2017
TÉCNICO EM ADMINISTRAÇÃO;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;IRATI;23/09/2010;22/12/2017
TÉCNICO EM AGENTE COMUNITÁRIO DE SAÚDE;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;IRATI;05/12/2022;05/12/2024
TÉCNICO EM AGROECOLOGIA;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;IRATI;05/02/2014;17/12/2026
TÉCNICO EM AGROECOLOGIA;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;IRATI;29/03/2010;21/12/2018
TÉCNICO EM INFORMÁTICA;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;IRATI;18/02/2013;17/12/2026
TÉCNICO EM INFORMÁTICA;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;IRATI;29/03/2010;18/12/2015
TÉCNICO EM LOGÍSTICA;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;IRATI;14/12/2015;22/12/2017
TÉCNICO EM MEIO AMBIENTE;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;IRATI;14/12/2015;22/12/2017
TÉCNICO EM PRODUÇÃO DE MODA;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;IRATI;09/08/2010;20/12/2013
TÉCNICO EM SECRETARIADO;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;IRATI;23/09/2010;24/09/2012
TÉCNICO EM SEGURANÇA DO TRABALHO;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;IRATI;14/12/2015;19/10/2020
TÉCNICO EM SERVIÇOS PÚBLICOS;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;IRATI;14/12/2015;22/12/2017
TÉCNICO EM VESTUÁRIO;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;IRATI;16/08/2010;13/12/2013
TÉCNICO EM ADMINISTRAÇÃO;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;IVAIPORÃ;14/12/2015;24/04/2018
TÉCNICO EM AGROECOLOGIA;TÉCNICO;EDUCAÇÃO PRESENCIAL;CONCOMITANTE;IVAIPORÃ;01/08/2011;22/12/2017
TÉCNICO EM AGROECOLOGIA;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;IVAIPORÃ;09/02/2015;17/12/2027
TÉCNICO EM AGROECOLOGIA;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;IVAIPORÃ;01/03/2010;19/12/2014
TÉCNICO EM ELETROTÉCNICA;TÉCNICO;EDUCAÇÃO PRESENCIAL;CONCOMITANTE;IVAIPORÃ;07/02/2019;15/12/2020
TÉCNICO EM ELETROTÉCNICA;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;IVAIPORÃ;10/02/2014;17/12/2027
TÉCNICO EM ELETROTÉCNICA;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;IVAIPORÃ;01/03/2010;18/12/2020
TÉCNICO EM INFORMÁTICA;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;IVAIPORÃ;13/02/2012;17/12/2027
TÉCNICO EM MEIO AMBIENTE;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;IVAIPORÃ;14/12/2015;27/04/2018
TÉCNICO EM SEGURANÇA DO TRABALHO;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;IVAIPORÃ;14/12/2015;27/04/2018
TÉCNICO EM ADMINISTRAÇÃO;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;JACAREZINHO;14/12/2015;22/12/2017
TÉCNICO EM ALIMENTOS;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;JACAREZINHO;14/02/2011;23/12/2027
TÉCNICO EM ALIMENTOS;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;JACAREZINHO;01/03/2010;20/12/2015
TÉCNICO EM ELETROMECÂNICA;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;JACAREZINHO;14/02/2011;20/12/2024
TÉCNICO EM ELETROMECÂNICA;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;JACAREZINHO;01/03/2010;20/12/2015
TÉCNICO EM ELETROTÉCNICA;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;JACAREZINHO;06/02/2018;23/12/2027
TÉCNICO EM INFORMÁTICA;TÉCNICO;EDUCAÇÃO PRESENCIAL;CONCOMITANTE;JACAREZINHO;22/08/2011;20/12/2013
TÉCNICO EM INFORMÁTICA;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;JACAREZINHO;14/02/2011;23/12/2027
TÉCNICO EM INFORMÁTICA;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;JACAREZINHO;01/03/2010;20/12/2015
TÉCNICO EM MECÂNICA;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;JACAREZINHO;06/02/2018;23/12/2027
TÉCNICO EM MEIO AMBIENTE;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;JACAREZINHO;14/12/2015;22/12/2017
TÉCNICO EM SEGURANÇA DO TRABALHO;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;JACAREZINHO;14/12/2015;22/12/2017
TÉCNICO EM TEATRO;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;JACAREZINHO;19/03/2012;19/12/2025
TÉCNICO EM TEATRO (ARTE DRAMÁTICA);TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;JACAREZINHO;15/02/2016;18/12/2021
TÉCNICO EM ADMINISTRAÇÃO;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;JAGUARIAÍVA;21/11/2017;18/11/2019
TÉCNICO EM ALIMENTOS;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;JAGUARIAÍVA;07/02/2019;17/12/2027
TÉCNICO EM BIOTECNOLOGIA;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;JAGUARIAÍVA;07/02/2015;17/12/2027
TÉCNICO EM LOGÍSTICA;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;JAGUARIAÍVA;23/11/2017;05/12/2024
TÉCNICO EM MEIO AMBIENTE;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;JAGUARIAÍVA;14/12/2015;05/12/2024
TÉCNICO EM SEGURANÇA DO TRABALHO;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;JAGUARIAÍVA;14/12/2015;22/12/2017
TÉCNICO EM SERVIÇOS PÚBLICOS;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;JAGUARIAÍVA;20/11/2017;18/11/2019
TÉCNICO EM ADMINISTRAÇÃO;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;LONDRINA - CENTRO;21/09/2010;30/09/2012
TÉCNICO EM AGENTE COMUNITÁRIO DE SAÚDE;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;LONDRINA - CENTRO;14/12/2015;22/12/2017
TÉCNICO EM BIOTECNOLOGIA;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;LONDRINA - CENTRO;02/03/2015;27/07/2022
TÉCNICO EM BIOTECNOLOGIA;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;LONDRINA - NORTE;28/07/2022;17/12/2027
TÉCNICO EM ENFERMAGEM;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;LONDRINA - CENTRO;24/08/2009;27/07/2022
TÉCNICO EM ENFERMAGEM;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;LONDRINA - NORTE;28/07/2022;19/12/2025
TÉCNICO EM INFORMÁTICA;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;LONDRINA - CENTRO;13/02/2012;27/07/2022
TÉCNICO EM INFORMÁTICA;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;LONDRINA - NORTE;28/07/2022;17/12/2027
TÉCNICO EM LOGÍSTICA;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;LONDRINA - CENTRO;14/12/2015;22/12/2017
TÉCNICO EM MASSOTERAPIA;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;LONDRINA - CENTRO;24/08/2009;19/12/2025
TÉCNICO EM MEIO AMBIENTE;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;LONDRINA - CENTRO;14/12/2015;22/12/2017
TÉCNICO EM PRÓTESE DENTÁRIA;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;LONDRINA - CENTRO;24/08/2009;19/12/2025
TÉCNICO EM SAÚDE BUCAL;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;LONDRINA - CENTRO;29/08/2009;19/12/2025
TÉCNICO EM SERVIÇOS PÚBLICOS;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;LONDRINA - CENTRO;14/12/2015;22/12/2017
TÉCNICO EM ADMINISTRAÇÃO;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;PALMAS;02/09/2010;02/09/2012
TÉCNICO EM AGENTE COMUNITÁRIO DE SAÚDE;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;PALMAS;05/12/2022;05/12/2024
TÉCNICO EM ALIMENTAÇÃO ESCOLAR;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;INTEGRADO;PALMAS;10/02/2014;15/12/2017
TÉCNICO EM ALIMENTOS;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;PALMAS;10/02/2014;31/12/2026
TÉCNICO EM COOPERATIVISMO;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;PALMAS;10/02/2014;15/12/2014
