NO_CURSO;NO_TIPO_CURSO;NO_MODALIDADE;NO_TIPO_OFERTA;CAMPUS;DATA INICIO;DATA FIM
TÉCNICO EM INFORMÁTICA PARA INTERNET;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;PALMAS;19/02/2024;31/12/2026
TÉCNICO EM LOGÍSTICA;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;PALMAS;14/12/2015;22/12/2017
TÉCNICO EM MASSOTERAPIA;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;PALMAS;07/02/2011;14/12/2012
TÉCNICO EM MEIO AMBIENTE;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;PALMAS;14/12/2015;05/12/2024
TÉCNICO EM SECRETARIADO;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;PALMAS;02/09/2010;02/09/2012
TÉCNICO EM SEGURANÇA DO TRABALHO;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;PALMAS;14/12/2015;22/12/2017
TÉCNICO EM SERVIÇOS JURÍDICOS;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;PALMAS;10/02/2014;31/12/2026
TÉCNICO EM SERVIÇOS PÚBLICOS;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;PALMAS;14/12/2015;22/12/2017
TÉCNICO EM VENDAS;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;PALMAS;13/02/2012;15/12/2014
TÉCNICO EM ADMINISTRAÇÃO;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;PARANAGUÁ;02/09/2010;02/09/2012
TÉCNICO EM AGENTE COMUNITÁRIO DE SAÚDE;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;PARANAGUÁ;14/12/2015;22/12/2017
TÉCNICO EM AGROECOLOGIA;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;PARANAGUÁ;21/02/2011;15/12/2012
TÉCNICO EM AQUICULTURA;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;PARANAGUÁ;30/08/2008;18/12/2015
TÉCNICO EM ELETROMECÂNICA;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;PARANAGUÁ;02/03/2009;15/12/2012
TÉCNICO EM ELETROMECÂNICA;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;PARANAGUÁ;14/02/2011;18/12/2015
TÉCNICO EM GUIA DE TURISMO;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;PARANAGUÁ;14/02/2011;15/07/2012
TÉCNICO EM INFORMÁTICA;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;PARANAGUÁ;01/09/2008;20/12/2027
TÉCNICO EM LOGÍSTICA;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;PARANAGUÁ;14/12/2015;02/12/2024
TÉCNICO EM LOGÍSTICA;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;PARANAGUÁ;01/09/2008;15/12/2014
TÉCNICO EM MANUTENÇÃO E SUPORTE EM INFORMÁTICA;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;PARANAGUÁ;02/03/2009;15/12/2012
TÉCNICO EM MECÂNICA;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;PARANAGUÁ;14/02/2011;20/12/2027
TÉCNICO EM MECÂNICA;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;PARANAGUÁ;02/03/2009;15/12/2012
TÉCNICO EM MEIO AMBIENTE;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;PARANAGUÁ;05/02/2014;20/12/2027
TÉCNICO EM PORTOS;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;PARANAGUÁ;14/02/2011;15/12/2012
TÉCNICO EM PRODUÇÃO CULTURAL;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;PARANAGUÁ;05/02/2024;20/12/2027
TÉCNICO EM SECRETARIADO;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;PARANAGUÁ;14/09/2010;14/09/2012
TÉCNICO EM SEGURANÇA DO TRABALHO;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;PARANAGUÁ;14/12/2015;22/12/2017
TÉCNICO EM SERVIÇOS PÚBLICOS;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;PARANAGUÁ;14/12/2015;22/12/2017
TÉCNICO EM ADMINISTRAÇÃO;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;PARANAVAÍ;31/08/2010;19/12/2012
TÉCNICO EM AGROINDÚSTRIA;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;PARANAVAÍ;03/02/2014;20/12/2027
TÉCNICO EM ALIMENTOS;TÉCNICO;EDUCAÇÃO PRESENCIAL;CONCOMITANTE;PARANAVAÍ;14/02/2011;30/03/2013
TÉCNICO EM ALIMENTOS;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;PARANAVAÍ;16/08/2010;13/12/2013
TÉCNICO EM ELETROMECÂNICA;TÉCNICO;EDUCAÇÃO PRESENCIAL;CONCOMITANTE;PARANAVAÍ;14/02/2011;30/03/2013
TÉCNICO EM ELETROMECÂNICA;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;PARANAVAÍ;03/02/2014;28/02/2020
TÉCNICO EM ELETROMECÂNICA;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;PARANAVAÍ;16/08/2010;20/12/2026
TÉCNICO EM INFORMÁTICA;TÉCNICO;EDUCAÇÃO PRESENCIAL;CONCOMITANTE;PARANAVAÍ;14/02/2011;30/03/2013
TÉCNICO EM INFORMÁTICA;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;PARANAVAÍ;13/02/2012;20/12/2027
TÉCNICO EM INFORMÁTICA;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;PARANAVAÍ;16/08/2010;27/02/2015
TÉCNICO EM MECATRÔNICA;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;PARANAVAÍ;06/02/2017;20/12/2027
TÉCNICO EM MEIO AMBIENTE;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;PARANAVAÍ;14/12/2015;22/12/2017
TÉCNICO EM SECRETARIADO;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;PARANAVAÍ;09/09/2010;19/12/2012
TÉCNICO EM ADMINISTRAÇÃO;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;INTEGRADO;PINHAIS;06/02/2024;22/12/2027
TÉCNICO EM ADMINISTRAÇÃO;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;PINHAIS;01/12/2015;03/08/2020
TÉCNICO EM ADMINISTRAÇÃO;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;PINHAIS;01/03/2015;22/12/2027
TÉCNICO EM AGENTE COMUNITÁRIO DE SAÚDE;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;PINHAIS;01/12/2015;19/12/2019
TÉCNICO EM INFORMÁTICA;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;PINHAIS;01/03/2015;22/12/2027
TÉCNICO EM LOGÍSTICA;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;INTEGRADO;PINHAIS;23/12/2017;19/12/2019
TÉCNICO EM LOGÍSTICA;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;PINHAIS;01/12/2015;20/12/2019
TÉCNICO EM MEIO AMBIENTE;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;PINHAIS;01/12/2015;18/12/2019
TÉCNICO EM MULTIMEIOS DIDÁTICOS;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;PINHAIS;17/12/2014;31/08/2016
TÉCNICO EM SEGURANÇA DO TRABALHO;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;PINHAIS;01/12/2015;20/12/2019
TÉCNICO EM SERVIÇOS PÚBLICOS;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;PINHAIS;01/12/2015;20/12/2019
TÉCNICO EM TRANSAÇÕES IMOBILIÁRIAS;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;PINHAIS;01/09/2014;29/11/2025
TÉCNICO EM VENDAS;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;PINHAIS;26/03/2018;09/10/2019
TÉCNICO EM ADMINISTRAÇÃO;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;PITANGA;14/12/2015;22/12/2017
TÉCNICO EM AGENTE COMUNITÁRIO DE SAÚDE;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;PITANGA;14/12/2015;22/12/2017
TÉCNICO EM ALIMENTOS;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;PITANGA;05/02/2024;17/12/2027
TÉCNICO EM COOPERATIVISMO;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;PITANGA;09/02/2015;17/12/2027
TÉCNICO EM LOGÍSTICA;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;PITANGA;28/04/2016;22/12/2017
TÉCNICO EM MEIO AMBIENTE;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;PITANGA;14/12/2015;22/12/2017
TÉCNICO EM SERVIÇOS PÚBLICOS;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;PITANGA;14/12/2015;22/12/2017
TÉCNICO EM ADMINISTRAÇÃO;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;QUEDAS DO IGUAÇU;14/12/2015;22/12/2017
TÉCNICO EM AGENTE COMUNITÁRIO DE SAÚDE;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;QUEDAS DO IGUAÇU;20/04/2016;22/12/2017
TÉCNICO EM INFORMÁTICA;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;QUEDAS DO IGUAÇU;15/02/2016;18/12/2026
TÉCNICO EM MEIO AMBIENTE;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;QUEDAS DO IGUAÇU;14/12/2015;22/12/2017
TÉCNICO EM MEIO AMBIENTE;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;QUEDAS DO IGUAÇU;09/02/2023;18/12/2026
TÉCNICO EM SEGURANÇA DO TRABALHO;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;QUEDAS DO IGUAÇU;14/12/2015;22/12/2017
TÉCNICO EM SERVIÇOS PÚBLICOS;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;QUEDAS DO IGUAÇU;14/12/2015;22/12/2017
TÉCNICO EM ADMINISTRAÇÃO;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;TELÊMACO BORBA;14/09/2010;20/12/2019
TÉCNICO EM AGROECOLOGIA;TÉCNICO;EDUCAÇÃO PRESENCIAL;CONCOMITANTE;TELÊMACO BORBA;14/02/2011;21/12/2012
TÉCNICO EM AGROECOLOGIA;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;TELÊMACO BORBA;14/02/2011;21/12/2012
TÉCNICO EM AUTOMAÇÃO INDUSTRIAL;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;TELÊMACO BORBA;10/02/2014;23/12/2027
TÉCNICO EM DESIGN DE MÓVEIS;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;TELÊMACO BORBA;14/02/2011;05/07/2013
TÉCNICO EM ELETROMECÂNICA;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;TELÊMACO BORBA;01/03/2010;18/12/2015
TÉCNICO EM FLORESTAS;TÉCNICO;EDUCAÇÃO PRESENCIAL;CONCOMITANTE;TELÊMACO BORBA;14/02/2011;21/12/2012
TÉCNICO EM FLORESTAS;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;TELÊMACO BORBA;13/02/2012;19/12/2014
TÉCNICO EM FLORESTAS;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;TELÊMACO BORBA;01/03/2010;21/12/2012
TÉCNICO EM INFORMÁTICA;TÉCNICO;EDUCAÇÃO PRESENCIAL;CONCOMITANTE;TELÊMACO BORBA;14/02/2011;21/12/2012
TÉCNICO EM INFORMÁTICA;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;TELÊMACO BORBA;01/03/2010;21/12/2012
TÉCNICO EM INFORMÁTICA PARA INTERNET;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;TELÊMACO BORBA;18/02/2013;23/12/2027
TÉCNICO EM INFORMÁTICA PARA INTERNET;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;TELÊMACO BORBA;13/02/2012;23/12/2015
TÉCNICO EM LOGÍSTICA;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;TELÊMACO BORBA;22/11/2017;19/12/2019
TÉCNICO EM MECÂNICA;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;TELÊMACO BORBA;13/02/2012;27/12/2027
TÉCNICO EM MEIO AMBIENTE;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;TELÊMACO BORBA;20/05/2016;18/12/2019
TÉCNICO EM PROGRAMAÇÃO DE JOGOS DIGITAIS;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;TELÊMACO BORBA;06/02/2018;19/12/2027
TÉCNICO EM PROGRAMAÇÃO DE JOGOS DIGITAIS;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;TELÊMACO BORBA;01/03/2010;05/04/2013
TÉCNICO EM SECRETARIADO;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;TELÊMACO BORBA;17/11/2010;17/12/2012
TÉCNICO EM SEGURANÇA DO TRABALHO;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;TELÊMACO BORBA;14/12/2015;20/12/2019
TÉCNICO EM SERVIÇOS PÚBLICOS;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;TELÊMACO BORBA;14/12/2015;16/12/2019
TÉCNICO EM AÇÚCAR E ÁLCOOL;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;UMUARAMA;14/02/2011;17/01/2014
TÉCNICO EM ADMINISTRAÇÃO;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;UMUARAMA;14/09/2010;22/12/2017
TÉCNICO EM AGROECOLOGIA;TÉCNICO;EDUCAÇÃO PRESENCIAL;CONCOMITANTE;UMUARAMA;03/08/2011;15/09/2013
TÉCNICO EM AGROECOLOGIA;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;UMUARAMA;03/08/2011;15/09/2013
TÉCNICO EM AGRONEGÓCIO;TÉCNICO;EDUCAÇÃO PRESENCIAL;CONCOMITANTE;UMUARAMA;24/05/2010;29/01/2016
TÉCNICO EM AGRONEGÓCIO;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;UMUARAMA;24/05/2010;22/12/2017
TÉCNICO EM CONTROLE AMBIENTAL;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;UMUARAMA;14/02/2011;21/07/2012
TÉCNICO EM DESENHO DE CONSTRUÇÃO CIVIL;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;UMUARAMA;14/02/2011;31/12/2018
TÉCNICO EM DESIGN DE INTERIORES;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;UMUARAMA;06/02/2017;19/12/2018
TÉCNICO EM DESIGN DE MÓVEIS;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;UMUARAMA;24/05/2010;18/08/2017
TÉCNICO EM EDIFICAÇÕES;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;UMUARAMA;14/03/2016;31/12/2028
TÉCNICO EM INFORMÁTICA;TÉCNICO;EDUCAÇÃO PRESENCIAL;CONCOMITANTE;UMUARAMA;24/05/2010;21/07/2012
TÉCNICO EM INFORMÁTICA;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;UMUARAMA;09/02/2015;31/12/2028
TÉCNICO EM INFORMÁTICA;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;UMUARAMA;24/05/2010;10/08/2018
TÉCNICO EM LOGÍSTICA;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;UMUARAMA;14/12/2015;22/12/2017
TÉCNICO EM MEIO AMBIENTE;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;UMUARAMA;14/12/2015;22/12/2017
TÉCNICO EM ORIENTAÇÃO COMUNITÁRIA;TÉCNICO;EDUCAÇÃO PRESENCIAL;SUBSEQUENTE;UMUARAMA;14/03/2011;22/08/2014
TÉCNICO EM QUÍMICA;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;UMUARAMA;13/02/2012;31/12/2028
TÉCNICO EM SEGURANÇA DO TRABALHO;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;UMUARAMA;14/12/2015;22/12/2017
TÉCNICO EM SERVIÇOS PÚBLICOS;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;UMUARAMA;14/12/2015;22/12/2017
TÉCNICO EM ADMINISTRAÇÃO;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;UNIÃO DA VITÓRIA;14/12/2015;22/12/2017
TÉCNICO EM INFORMÁTICA;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;UNIÃO DA VITÓRIA;23/02/2015;16/12/2026
TÉCNICO EM MANUTENÇÃO E SUPORTE EM INFORMÁTICA;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;UNIÃO DA VITÓRIA;26/07/2016;23/12/2019
TÉCNICO EM MEIO AMBIENTE;TÉCNICO;EDUCAÇÃO PRESENCIAL;INTEGRADO;UNIÃO DA VITÓRIA;07/02/2019;06/12/2202
TÉCNICO EM SEGURANÇA DO TRABALHO;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;UNIÃO DA VITÓRIA;14/12/2015;22/12/2017
TÉCNICO EM SERVIÇOS PÚBLICOS;TÉCNICO;EDUCAÇÃO A DISTÂNCIA;SUBSEQUENTE;UNIÃO DA VITÓRIA;14/12/2015;22/12/2017
