"CAMPUS";"REGIÃO";"TESTE";"VALOR.DO.TESTE";"VALOR.CRÍTICO";"CONCLUSÃO"
"ARAPONGAS";"REGIÃO NORTE";"KPSS";0.162920122407826;0.146;"Possui raiz unitária - Não Estacionário"
"ARAPONGAS";"REGIÃO NORTE";"Man Kenndall";0.00256238817163662;0.05;"Não possui tendência"
"ARAPONGAS";"REGIÃO NORTE";"Kruskal Wallis";0.468202724471401;0.05;"Não possui Sazonalidade"
"ASSIS CHATEAUBRIAND";"REGIÃO OESTE";"KPSS";0.194175380645796;0.146;"Possui raiz unitária - Não Estacionário"
"ASSIS CHATEAUBRIAND";"REGIÃO OESTE";"Man Kenndall";0.0100311752230771;0.05;"Não possui tendência"
"ASSIS CHATEAUBRIAND";"REGIÃO OESTE";"Kruskal Wallis";0.482537162754408;0.05;"Não possui Sazonalidade"
"ASTORGA";"REGIÃO NORTE";"KPSS";0.404686654973959;0.146;"Possui raiz unitária - Não Estacionário"
"ASTORGA";"REGIÃO NORTE";"Man Kenndall";0.00809150086298617;0.05;"Não possui tendência"
"ASTORGA";"REGIÃO NORTE";"Kruskal Wallis";0.479599156656555;0.05;"Não possui Sazonalidade"
"BARRACÃO";"REGIÃO SUL";"KPSS";0.295676699195816;0.146;"Possui raiz unitária - Não Estacionário"
"BARRACÃO";"REGIÃO SUL";"Man Kenndall";0.0209770097396374;0.05;"Não possui tendência"
"BARRACÃO";"REGIÃO SUL";"Kruskal Wallis";0.482384618704666;0.05;"Não possui Sazonalidade"
"CAMPO LARGO";"REGIÃO LESTE";"KPSS";0.184609688287825;0.146;"Possui raiz unitária - Não Estacionário"
"CAMPO LARGO";"REGIÃO LESTE";"Man Kenndall";0.854214947448988;0.05;"Possui tendência"
"CAMPO LARGO";"REGIÃO LESTE";"Kruskal Wallis";0.482537162754408;0.05;"Não possui Sazonalidade"
"CAPANEMA";"REGIÃO SUL";"KPSS";0.151079918796431;0.146;"Possui raiz unitária - Não Estacionário"
"CAPANEMA";"REGIÃO SUL";"Man Kenndall";0.0239258434806267;0.05;"Não possui tendência"
"CAPANEMA";"REGIÃO SUL";"Kruskal Wallis";0.479478053799718;0.05;"Não possui Sazonalidade"
"CASCAVEL";"REGIÃO OESTE";"KPSS";0.260217207615903;0.146;"Possui raiz unitária - Não Estacionário"
"CASCAVEL";"REGIÃO OESTE";"Man Kenndall";0.00271048376197225;0.05;"Não possui tendência"
"CASCAVEL";"REGIÃO OESTE";"Kruskal Wallis";0.479599156656555;0.05;"Não possui Sazonalidade"
"COLOMBO";"REGIÃO LESTE";"KPSS";0.201831976281587;0.146;"Possui raiz unitária - Não Estacionário"
"COLOMBO";"REGIÃO LESTE";"Man Kenndall";1.77007501696583e-09;0.05;"Não possui tendência"
"COLOMBO";"REGIÃO LESTE";"Kruskal Wallis";0.476847388663031;0.05;"Não possui Sazonalidade"
"CORONEL VIVIDA";"REGIÃO SUL";"KPSS";0.169362215116156;0.146;"Possui raiz unitária - Não Estacionário"
"CORONEL VIVIDA";"REGIÃO SUL";"Man Kenndall";0.0684474618466931;0.05;"Possui tendência"
"CORONEL VIVIDA";"REGIÃO SUL";"Kruskal Wallis";0.479718140613774;0.05;"Não possui Sazonalidade"
"CURITIBA";"REGIÃO LESTE";"KPSS";0.349082293067478;0.146;"Possui raiz unitária - Não Estacionário"
"CURITIBA";"REGIÃO LESTE";"Man Kenndall";1.48771834216168e-08;0.05;"Não possui tendência"
"CURITIBA";"REGIÃO LESTE";"Kruskal Wallis";0.478135013976781;0.05;"Não possui Sazonalidade"
"FOZ DO IGUAÇU";"REGIÃO OESTE";"KPSS";0.12338697942739;0.146;"Não possui raiz unitária - Estacionário"
"FOZ DO IGUAÇU";"REGIÃO OESTE";"Man Kenndall";0.209118154043528;0.05;"Possui tendência"
"FOZ DO IGUAÇU";"REGIÃO OESTE";"Kruskal Wallis";0.482611963548345;0.05;"Não possui Sazonalidade"
"GOIOERÊ";"REGIÃO OESTE";"KPSS";0.192425021236307;0.146;"Possui raiz unitária - Não Estacionário"
"GOIOERÊ";"REGIÃO OESTE";"Man Kenndall";0.0160975188784524;0.05;"Não possui tendência"
"GOIOERÊ";"REGIÃO OESTE";"Kruskal Wallis";0.479101381690269;0.05;"Não possui Sazonalidade"
"IRATI";"REGIÃO CENTRAL";"KPSS";0.260875114237933;0.146;"Possui raiz unitária - Não Estacionário"
"IRATI";"REGIÃO CENTRAL";"Man Kenndall";4.29731363334778e-07;0.05;"Não possui tendência"
"IRATI";"REGIÃO CENTRAL";"Kruskal Wallis";0.482537162754408;0.05;"Não possui Sazonalidade"
"IVAIPORÃ";"REGIÃO CENTRAL";"KPSS";0.383285990424906;0.146;"Possui raiz unitária - Não Estacionário"
"IVAIPORÃ";"REGIÃO CENTRAL";"Man Kenndall";0.195919218848048;0.05;"Possui tendência"
"IVAIPORÃ";"REGIÃO CENTRAL";"Kruskal Wallis";0.482537162754408;0.05;"Não possui Sazonalidade"
"JACAREZINHO";"REGIÃO NORTE";"KPSS";0.381209339799869;0.146;"Possui raiz unitária - Não Estacionário"
"JACAREZINHO";"REGIÃO NORTE";"Man Kenndall";0.8776294580097;0.05;"Possui tendência"
"JACAREZINHO";"REGIÃO NORTE";"Kruskal Wallis";0.479718140613773;0.05;"Não possui Sazonalidade"
"JAGUARIAÍVA";"REGIÃO CENTRAL";"KPSS";0.353663865058262;0.146;"Possui raiz unitária - Não Estacionário"
"JAGUARIAÍVA";"REGIÃO CENTRAL";"Man Kenndall";0.00441946429300363;0.05;"Não possui tendência"
"JAGUARIAÍVA";"REGIÃO CENTRAL";"Kruskal Wallis";0.48206714044942;0.05;"Não possui Sazonalidade"
"LONDRINA - CENTRO";"REGIÃO NORTE";"KPSS";0.236672185357384;0.146;"Possui raiz unitária - Não Estacionário"
"LONDRINA - CENTRO";"REGIÃO NORTE";"Man Kenndall";0.0195837966841758;0.05;"Não possui tendência"
"LONDRINA - CENTRO";"REGIÃO NORTE";"Kruskal Wallis";0.479478053799718;0.05;"Não possui Sazonalidade"
"LONDRINA - NORTE";"REGIÃO NORTE";"KPSS";0.0660442358344355;0.146;"Não possui raiz unitária - Estacionário"
"LONDRINA - NORTE";"REGIÃO NORTE";"Man Kenndall";6.8530159295226e-15;0.05;"Não possui tendência"
"LONDRINA - NORTE";"REGIÃO NORTE";"Kruskal Wallis";0.47339846855635;0.05;"Não possui Sazonalidade"
"PALMAS";"REGIÃO SUL";"KPSS";0.23723320475296;0.146;"Possui raiz unitária - Não Estacionário"
"PALMAS";"REGIÃO SUL";"Man Kenndall";0.0224500552943664;0.05;"Não possui tendência"
"PALMAS";"REGIÃO SUL";"Kruskal Wallis";0.479599156656555;0.05;"Não possui Sazonalidade"
"PARANAGUÁ";"REGIÃO LESTE";"KPSS";0.222688524637903;0.146;"Possui raiz unitária - Não Estacionário"
"PARANAGUÁ";"REGIÃO LESTE";"Man Kenndall";0.286129118624816;0.05;"Possui tendência"
"PARANAGUÁ";"REGIÃO LESTE";"Kruskal Wallis";0.483440582279967;0.05;"Não possui Sazonalidade"
"PARANAVAÍ";"REGIÃO NORTE";"KPSS";0.216870369723211;0.146;"Possui raiz unitária - Não Estacionário"
"PARANAVAÍ";"REGIÃO NORTE";"Man Kenndall";0.375821913265979;0.05;"Possui tendência"
"PARANAVAÍ";"REGIÃO NORTE";"Kruskal Wallis";0.483376012496173;0.05;"Não possui Sazonalidade"
"PINHAIS";"REGIÃO LESTE";"KPSS";0.140005990274636;0.146;"Não possui raiz unitária - Estacionário"
"PINHAIS";"REGIÃO LESTE";"Man Kenndall";0.656328628541906;0.05;"Possui tendência"
"PINHAIS";"REGIÃO LESTE";"Kruskal Wallis";0.48164505216372;0.05;"Não possui Sazonalidade"
"PITANGA";"REGIÃO CENTRAL";"KPSS";0.300803666088597;0.146;"Possui raiz unitária - Não Estacionário"
"PITANGA";"REGIÃO CENTRAL";"Man Kenndall";0.0122436505370146;0.05;"Não possui tendência"
"PITANGA";"REGIÃO CENTRAL";"Kruskal Wallis";0.479478053799718;0.05;"Não possui Sazonalidade"
"QUEDAS DO IGUAÇU";"REGIÃO OESTE";"KPSS";0.124744874344901;0.146;"Não possui raiz unitária - Estacionário"
"QUEDAS DO IGUAÇU";"REGIÃO OESTE";"Man Kenndall";0.831740539009198;0.05;"Possui tendência"
"QUEDAS DO IGUAÇU";"REGIÃO OESTE";"Kruskal Wallis";0.479354768398572;0.05;"Não possui Sazonalidade"
"TELÊMACO BORBA";"REGIÃO CENTRAL";"KPSS";0.345722596272626;0.146;"Possui raiz unitária - Não Estacionário"
"TELÊMACO BORBA";"REGIÃO CENTRAL";"Man Kenndall";0.0488543561278064;0.05;"Não possui tendência"
"TELÊMACO BORBA";"REGIÃO CENTRAL";"Kruskal Wallis";0.479478053799718;0.05;"Não possui Sazonalidade"
"UMUARAMA";"REGIÃO OESTE";"KPSS";0.186919591855019;0.146;"Possui raiz unitária - Não Estacionário"
"UMUARAMA";"REGIÃO OESTE";"Man Kenndall";0.0858561752385681;0.05;"Possui tendência"
"UMUARAMA";"REGIÃO OESTE";"Kruskal Wallis";0.481817435826871;0.05;"Não possui Sazonalidade"
"UNIÃO DA VITÓRIA";"REGIÃO SUL";"KPSS";0.399582757099541;0.146;"Possui raiz unitária - Não Estacionário"
"UNIÃO DA VITÓRIA";"REGIÃO SUL";"Man Kenndall";6.76386953144061e-10;0.05;"Não possui tendência"
"UNIÃO DA VITÓRIA";"REGIÃO SUL";"Kruskal Wallis";0.479478053799718;0.05;"Não possui Sazonalidade"
